srcIPEntropy,dstIPEntropy,packetCount,class
0.4963688243068336,0.4963688243068336,20,0
0.4873660756948513,0.4873660756948513,22,0
0.4905360391963916,0.4905360391963916,23,0
0.4985075528692391,0.4985075528692391,22,0
0.4988091601275785,0.4988091601275785,21,0
0.4985075528692391,0.4985075528692391,22,0
0.4872705738382052,0.4872705738382052,24,0
0.4882881468537777,0.4882881468537777,23,0
0.4882881468537777,0.4882881468537777,23,0
0.4750056054120885,0.4750056054120885,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4949671891627881,0.4949671891627881,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4967402035679791,0.4967402035679791,25,0
0.4974835945813941,0.4974835945813941,24,0
0.4872705738382052,0.4872705738382052,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4985075528692391,0.4985075528692391,22,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4924750056556799,0.4924750056556799,21,0
0.4988091601275785,0.4988091601275785,21,0
0.495350897562658,0.495350897562658,21,0
0.4743293151674268,0.4743293151674268,23,0
0.4897976058549864,0.4897976058549864,28,0
0.4989452119771051,0.4989452119771051,23,0
0.4924613145096995,0.4924613145096995,22,0
0.4928129590011165,0.4928129590011165,24,0
0.5,0.5,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.5,0.5,24,0
0.4924613145096995,0.4924613145096995,22,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4905360391963916,0.4905360391963916,23,0
0.5,0.5,20,0
0.4963688243068336,0.4963688243068336,20,0
0.4974835945813941,0.4974835945813941,24,0
0.5,0.5,24,0
0.4988091601275785,0.4988091601275785,21,0
0.4963688243068336,0.4963688243068336,20,0
0.4974835945813941,0.4974835945813941,24,0
0.5,0.5,24,0
0.4963193976272554,0.4963193976272554,23,0
0.495762383321669,0.495762383321669,22,0
0.4924750056556799,0.4924750056556799,21,0
0.4931618535462413,0.4931618535462413,23,0
0.4989452119771051,0.4989452119771051,23,0
0.4905360391963916,0.4905360391963916,23,0
0.4985075528692391,0.4985075528692391,22,0
0.4949671891627881,0.4949671891627881,24,0
0.5,0.5,24,0
0.4897869792568112,0.4897869792568112,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4905360391963916,0.4905360391963916,23,0
0.4946721426127743,0.4946721426127743,25,0
0.5,0.5,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4949671891627881,0.4949671891627881,24,0
0.4924613145096995,0.4924613145096995,22,0
0.4963688243068336,0.4963688243068336,20,0
0.4949671891627881,0.4949671891627881,24,0
0.5,0.5,24,0
0.5,0.5,24,0
0.4985075528692391,0.4985075528692391,22,0
0.4924750056556799,0.4924750056556799,21,0
0.4890167430907595,0.4890167430907595,21,0
0.4952064840572696,0.4952064840572696,22,0
0.4705112770342155,0.4705112770342155,23,0
0.4989452119771051,0.4989452119771051,23,0
0.4985075528692391,0.4985075528692391,22,0
0.4963193976272555,0.4963193976272555,23,0
0.5,0.5,24,0
0.4974835945813941,0.4974835945813941,24,0
0.4985075528692391,0.4985075528692391,22,0
0.4834162345001569,0.4834162345001569,23,0
0.4785425278076933,0.4785425278076933,23,0
0.4873660756948513,0.4873660756948513,22,0
0.495762383321669,0.495762383321669,22,0
0.4937343753004817,0.4937343753004817,27,0
0.4897869792568112,0.4897869792568112,24,0
0.4908934343807394,0.4908934343807394,26,0
0.4775770831673074,0.4775770831673074,25,0
0.4991559527698407,0.4991559527698407,25,0
0.4949671891627881,0.4949671891627881,24,0
